docx	F:\pythonprojects\信息科学与工程学院_320220938891_郭一泽.docx
total_pages	60
counts	{'title_toc': 93, 'figure_toc': 11, 'table_toc': 13}

## title_toc
ok	shown=1	actual=1	1 绪 论	match=第一章 绪 论
ok	shown=1	actual=1	1.1 研究背景及意义	match=1.1 研究背景及意义
ok	shown=1	actual=1	1.2 国内外研究现状	match=1.2 国内外研究现状
ok	shown=2	actual=2	1.3 研究内容及论文结构	match=1.3 研究内容及论文结构
mismatch	shown=3	actual=2	2 场建模	match=论文后续章节按照“场建模—单艇路径规划—双艇协同决策—实验验证”的逻辑展开。场建模部分给出GP clue、target intensity、recency与综合信息价值场的构造方法；单艇路径规划部分说明已知静态地图下的信息驱动安全路径段生成与滚动重规划机制；双艇协同部分说明共享团队状态、软责任区、顺序分配和冲突安全执行逻辑；实验部分基于不同地图、目标运动模式和采集函数设置，对单艇基线、双艇协同方法和anomaly-aware acquisition变体进行验证与分析。
ok	shown=3	actual=3	2.1 高斯过程回归	match=2.1 高斯过程回归
ok	shown=3	actual=3	2.1.1 回归问题	match=2.1.1 回归问题
ok	shown=3	actual=3	2.1.2 多元高斯分布	match=2.1.2 多元高斯分布
ok	shown=4	actual=4	2.1.3 核函数	match=2.1.3 核函数
mismatch	shown=5	actual=4	2.1.4 后验预测	match=核函数𝑘(𝑥,𝑥,)的本质是定义任意两个输入点处潜在函数值之间的协方差结构，即它决定了模型如何刻画空间相关性、平滑性以及观测之间的相互影响关系。Rasmussen和Williams指出，在高斯过程模型中，协方差函数或核函数直接编码了对未知函数形态的先验假设，因此核函数的选择会显著影响后验预测结果[9]。
mismatch	shown=6	actual=2	2.1.5 采集函数	match=信息型路径规划（Informative Path Planning,IPP）为该类问题提供了更合适的理论视角。IPP通常在运动预算约束下选择能够最大化信息收益的路径，其信息收益可以来自环境模型不确定性的下降、目标存在概率的更新或任务相关观测价值的提升[6][7][8]。在概率建模方面，高斯过程为稀疏线索观测下的空间场估计提供了可解释的后验均值与不确定性描述[9]，而GP-UCB等采集函数进一步将均值收益和不确定性探索统一到路径选择之前的信息排序中[10]。近年来，异常检测和分位数估计也被引入环境监测型IPP，用于突出上尾异常区域或高风险区域[11][12]。这些研究共同说明，目标搜索路径规划应从几何覆盖转向任务相关信息价值评估。
ok	shown=7	actual=7	2.1.6 Anomaly变体	match=2.1.6 Anomaly变体
ok	shown=8	actual=8	2.2 目标Intensity场建模	match=2.2 目标Intensity场建模
ok	shown=8	actual=8	2.2.1 初始化	match=2.2.1 初始化
mismatch	shown=9	actual=8	2.2.2 目标运动预测	match=与GP clue场主要依赖带噪观测进行回归不同，Intensity场的更新依赖于搜索过程中的行为与观测结果，即目标运动预测、未命中观测更新以及命中后质量移除。因而，Intensity场承担的是“剩余目标空间分布信念”的建模角色，而不是环境线索的统计回归角色。
